3D打印	to 3D print
一山不容二虎	lit. the mountain can't…
一己	oneself
一帆风顺	propitious wind through…
一带	region
一带一路	Belt and Road Initiative
一带而过	to skate around
一席之地	place
一席话	the content of a conver…
一干二净	thoroughly
一年之计在于春	the whole year must be …
一年到头	all year round
一年半	a year and a half
一年半载	about a year
一年四季	all year round
一年多	more than a year
一年期	one year period
一年生	annual
一并	to lump together
一应	all
一应俱全	with everything needed …
一度	for a time
一式二份	in duplicate
一弹指顷	a snap of the fingers
一往情深	deeply attached
一往无前	to advance courageously
一往直前	see 一往無前|一往无前
一径	directly
一律	same
一心	wholeheartedly
一心一德	of one heart and one mi…
一心一意	concentrating one's tho…
一心二用	to do two things at once
一心多用	to multitask
一念之差	momentary slip
一总	altogether
一惊一乍	frightened
一意	focus
一意孤行	obstinately clinging to…
一成不变	immutable
一战	World War I
一房一厅	one bedroom and one liv…
一手	a skill
一手包办	to take care of a matte…
一手遮天	lit. to hide the sky wi…
一打	dozen
一扫而光	see 一掃而空|一扫而空
一扫而空	to make a clean sweep of
一技之长	proficiency in a partic…
一把好手	expert
一把屎一把尿	to have endured all sor…
一把年纪	to be getting on in yea…
一把手	working hand
一把抓	to attempt all tasks at…
一把死拿	stubborn
一把眼泪一把鼻涕	with one's face covered…
一把钥匙开一把锁	One key opens one lock.
一抓一大把	to be a dime a dozen
一折两段	to split sth into two
一拍两散	to break up
一拍即合	lit. to be together fro…
一拥而上	to swarm around
一拥而入	to swarm in
一拨儿	group of people
一挥而就	to finish  at a stroke
一排	row
一探究竟	to check out
一推六二五	1 divided by 16 is 0.06…
一掬同情之泪	to shed tears of sympat…
一掷千金	lit. stake a thousand p…
一揽子	all-inclusive
一改再改	to change  repeatedly
一改故辙	complete change from th…
一文不值	worthless
一文不名	to be penniless
一方	a party
一方面	on the one hand
一旁	aside
一族	social group
一无所有	not having anything at …
一无所知	not knowing anything at…
一无所获	to gain nothing
一无所长	not having any special …
一无所闻	unheard of
一无是处	not one good point
一日三秋	a single day apart seem…
一日三餐	to have three meals a d…
一日不如一日	to be getting worse by …
一日之计在于晨	make your day's plan ea…
一日之雅	lit. friends for a day
一日千里	lit. one day
一旦	in case
一早	early in the morning
一时	a period of time
一时半会	a short time
一时半会儿	a short time
一时半刻	a short time
一时半晌	a short time
一时半霎	a short time
一时瑜亮	two remarkable persons …
一时间	for a moment
一星半点	just the tiniest bit
一晃	in an instant
一曝十寒	one day's sun
一更	first of the five night…
一月	January
一月份	January
一望无垠	to stretch as far as th…
一望无际	as far as the eye can s…
一望而知	to be evident at a glan…
一朝一夕	lit. one morning and on…
一朝天子一朝臣	new emperor
一木难支	lit. a single post cann…
一本万利	small capital
一本正经	in deadly earnest
一杆进洞	hole in one
一条心	to be of one mind
一条绳上的蚂蚱	lit. grasshoppers tied …
一条路走到黑	lit. to follow one road…
一条道走到黑	to stick to one's ways
一条龙	lit. one dragon
一条龙服务	one-stop service
一来	firstly
一来二去	gradually
一杯羹	lit. a cup of soup
一板一眼	lit. one strong beat an…
一板三眼	lit. one strong beat an…
一枝独秀	lit. only one branch of…
一枪命中	to hit with the first s…
一柱擎天	lit. to support the sky…
一样	same
一根筋	stubborn
一根绳上的蚂蚱	see 一條繩上的螞蚱|一条绳上的蚂蚱
一棍子打死	to deal a single fatal …
一概	all
一概而论	to lump different matte…
一模一样	exactly alike
一次	first
一次函数	linear function
一次又一次	repeatedly
一次性	one-off
一次方程	linear equation
一次方程式	linear equation
一步一个脚印	one step
一步一趋	see 亦步亦趨|亦步亦趋
一步到位	to accomplish in one st…
一步登天	reaching heaven in a si…
一步裙	pencil skirt
一毛一样	exactly alike
一毛不拔	lit. unwilling to spare…
一气	at one go
一气之下	in a fit of pique
一气呵成	to do something at one …
一氧化二氮	nitrous oxide N2O
一氧化氮	nitric oxide
一氧化碳	carbon monoxide CO
一水儿	of the same type
一波三折	calligraphic flourish w…
一派胡言	a bunch of nonsense
一派谎言	a pack of lies
一流	top quality
一清二楚	to be very clear about …
一清二白	perfectly clean
一清如水	lit. as clear as water
一清早	early in the morning
一溜烟	like a wisp of smoke
一潭死水	a pool of stagnant water
一灵真性	soul
一炮打响	to hit the jackpot with…
一炮而红	to win instant success
一点	a bit
一点一滴	bit by bit
一点一点	little by little
一点不	not at all
一点儿	erhua variant of 一點|一点
一点就通	a hint is all that is n…
一点水一个泡	honest and trustworthy
一点点	a little bit
一物降一物	lit. one object bests a…
一犯再犯	to keep doing
一琴一鹤	carrying very little lu…
一生	all one's life
一生一世	a whole lifetime
一甲	1st rank or top three c…
一甲子	sixty years
一男半女	a son or daughter
一病不起	to fall gravely ill
一瘸一拐	to limp
一百一	faultless
一盘散沙	lit. like a sheet of lo…
一盘棋	chessboard layout
一目了然	obvious at a glance
一目十行	ten lines at a glance
一直	straight
一直以来	in the past always
一眨眼	in a wink
一眼	a glance
一眼望去	as far as the eye can s…
一眼看穿	to see through somethin…
一睹	to look
一瞥	glance
一瞬	one instant
一瞬间	split second
一矢中的	to hit the target with …
一知半解	to have a superficial k…
一石二鸟	to kill two birds with …
一碗水端平	lit. to hold a bowl of …
一神教	monotheistic religion
一神论	monotheism
一秉虔诚	earnestly and sincerely
一种	one kind of
一秘	first secretary
一穷二白	impoverished
一空	leaving none left
一窍不通	lit. doesn't  enter a s…
一窝蜂	like a swarm of bees
一站式	one-stop
一笑了之	to laugh away
一笑置之	to dismiss with a laugh
一笔不苟	lit. not even one strok…
一笔勾销	to write off at one str…
一笔带过	to mention only very br…
一笔抹杀	to blot out at one stro…
一等	first class
一等一	top-notch
一等奖	first prize
一筹莫展	to be unable to find a …
一箩筐	bucketloads of
一箭之仇	a wrong suffered
一箭双雕	lit. one arrow
一类	same type
一类保护动物	class A protected animal
一系列	a series of
一级	first class
一级士官	corporal
一级头	first stage
一级方程式	Formula One
一级棒	first-rate
一纸空文	a worthless piece of pa…
一线	front line
一线之间	a hair's breadth apart
一线之隔	a fine line
一线希望	a gleam of hope
一线微光	gleam
一线生机	a chance of survival
一经	as soon as
一统	to unify
一维	one-dimensional
一网打尽	lit. to catch everythin…
一肚子	bellyful
一肚皮	bellyful
一股子	a whiff of
一股清流	a breath of fresh air
一股脑	all of it
一股脑儿	erhua variant of 一股腦|一股脑
一胎制	the one-child policy
一胎化	practice of allowing on…
一脉相承	traceable to the same s…
一脸茫然	puzzled
一腔	full of
一致	consistent
一致字	consistent words
一致性	consistency
一致性效应	consistency effect
一般	same
一般人	average person
一般原则	general principle
一般性	general
一般来讲	generally speaking
一般来说	generally speaking
一般而言	generally speaking
一般般	not particularly good
一般见识	to lower oneself to  le…
一般规定	ordinary provision
一般说来	generally speaking
一般贸易	general trade
一节诗	stanza
一落千丈	lit. to drop a thousand…
一血	first blood
一行	party
一衣带水	a narrow strip of water
一袭	an outfit of
一见倾心	love at first sight
一见如故	familiarity at first si…
一见钟情	to fall in love at firs…
一见高低	lit. to fight it out wi…
一视同仁	to treat everyone equal…
一览	at a glance
一览众山小	with one look I shall s…
一览无余	to cover all at one gla…
一览无遗	be plainly visible
一览表	table
一觉醒来	to wake up from a sleep
一角鲸	narwhal
一触即发	could happen at any mom…
一触即溃	to collapse on the firs…
一言	one sentence
一言一动	every word and deed
一言一行	every word and action
一言不发	to not say a word
一言不合	to have a disagreement
一言为定	it's a deal
一言为重	each word carries weight
一言九鼎	one word worth nine sac…
一言以蔽之	one word says it all
一言千金	one word worth a thousa…
一言堂	prices fixed – no barga…
一言抄百总	to cut a long story sho…
一言难尽	hard to explain in a fe…
一语不发	to not say a word
一语中的	to hit the mark with a …
一语双关	to make a pun
一语成谶	to have one's words tur…
一语破的	see 一語中的|一语中的
一语道破	one word says it all
一说	an expression of opinion
一诺千金	lit. a promise worth a …
一败涂地	lit. defeated
一贫如洗	penniless
一贯	consistent
一走了之	to avoid a problem by w…
一起	the same place
一跃而起	to jump up suddenly
一路	the whole journey
一路上	along the way
一路平安	to have a pleasant jour…
一路来	all the way
一路货	see 一路貨色|一路货色
一路货色	as detestable as each o…
一路顺风	to have a pleasant jour…
一路风尘	to live an exhausting j…
一蹴即至	lit. to get there in on…
一蹴可几	to succeed at the first…
一蹴而就	to get there in one step
一蹴而得	see 一蹴而就
一蹴而成	see 一蹴而就
一蹶不振	one stumble
一身	whole body
一身两役	one person taking on tw…
一身是胆	devoid of fear
一身汗	sweating all over
一转眼	in the blink of an eye
一轮	first round or stage
一较高下	to compete against
一辈子	a lifetime
一辞莫赞	left speechless by sth …
一边	one side
一边倒	to have the advantage o…
一过性	transient
一连	in a row
一连串	a succession of
一退六二五	see 一推六二五
一通百通	grasp this fundamental …
一逞兽欲	to give way to one's be…
一遍	one time
一遍又一遍	over and over
一道	together
一部分	portion
一醉方休	to get thoroughly drunk
一针见血	lit. to draw blood on t…
一钱不值	not worth a penny
一钱如命	stingy
一锅端	see 連鍋端|连锅端
一锅粥	a pot of porridge
一错再错	to repeat errors
一锤子买卖	a one-off
一锤定音	lit. to fix the tone wi…
一长一短	talking endlessly
一门式	one-stop
一门心思	to set one's heart on s…
一闪念	sudden idea
一闪而过	to flash past
一问三不知	lit. to reply "don't kn…
一阵	a burst
一阵子	a while
一雨成秋	a sudden shower towards…
一雪前耻	to wipe away a humiliat…
一霎	in a flash
一霎时	in an instant
一霎眼	suddenly
一霎间	in a flash
一面	one side
一面之交	to have met once
一面之词	one side of the story
一面倒	to be entirely on one s…
一颦一笑	every frown and every s…
一饮而尽	to drain the cup in one…
一饱眼福	to feast one's eyes on
一马平川	flat land one could gal…
一马当先	to take the lead
一骑绝尘	to lead the pack by a w…
一骨碌	with a rolling or twist…
一鳞半爪	lit. one scale and half…
一鸣惊人	to amaze the world with…
一鼓作气	in a spurt of energy
一鼻孔出气	lit. to breathe through…
一齐	at the same time
丁丁	Tintin
丁丁炒面	chopped fried noodles
丁丑	fourteenth year D2 of t…
丁二烯	butadiene C4H6
丁二醇	butyl glycol
丁亥	twenty-fourth year D12 …
丁克	Dual Income
丁内酯	butyrolactone
丁加奴	former transliteration …
丁卯	fourth year D4 of the 6…
丁型肝炎	hepatitis D
丁基	butyl group
丁字	T-shaped
丁字尺	T-square
丁字梁	T-girder
丁字步	T-step
丁字街	T-junction
丁字裤	thong
丁字镐	hammer pick
丁宠家庭	double income family wh…
丁巳	fifty-fourth year D6 of…
丁忧	to be in mourning after…
丁未	forty-fourth year D8 of…
丁汝昌	Ding Ruchang
丁点	tiny bit
丁烯	butene or butylene C4H8
丁烷	butane
丁磊	Ding Lei
丁肇中	Samuel C. C. Ting
丁腈手套	nitrile glove
丁腈橡胶	nitrile rubber
丁酉	thirty-fourth year D10 …
丁醇	butanol
丁醛	butyraldehyde
丁零当啷	sound of a bell: ding-a…
丁青县	Dêngqên
丁韪良	William A.P. Martin
丁香	lilac
丁骨牛排	T-bone steak
丁鱥	tench
七七事变	Marco Polo Bridge Incid…
七七八八	almost
七上八下	at sixes and sevens
七上八落	see 七上八下
七分之一	one seventh
七分熟	medium well
七十	seventy
七十七国集团	Group of 77
七十年代	the seventies
七台河	see 七臺河市|七台河市
七台河市	Qitaihe
七叶树	Chinese horse chestnut
七号电池	AAA battery
七和弦	seventh
七喜	7 Up
七嘴八张	see 七嘴八舌
七嘴八舌	lively discussion with …
七国集团	G7
七堵区	Qidu
七声音阶	heptatonic scale
七夕	double seven festival
七夕节	Qixi Festival or Double…
七大姑八大姨	distant relatives
七大工业国集团	G7
七姊妹星团	Pleiades M45
七孔	the seven apertures of …
七巧板	tangram
七带石斑鱼	Epinephelus septemfasci…
七年之痒	seven-year itch
七弦琴	guqin or seven-stringed…
七弯八拐	twisting and turning
七彩	seven colors
七律	verse form consisting o…
七情	seven emotional states
七情六欲	various emotions and de…
七手八脚	with everyone lending a…
七扭八歪	misshapen
七折八扣	lit. various cuts and d…
七拼八凑	assembled at random
七政四余	seven heavenly bodies a…
七旬老人	septuagenarian
七星	see 七星區|七星区
七星关	see 七星關區|七星关区
七星关区	Qixingguan
七星区	Qixing
七星瓢虫	seven-spotted ladybug
七曜	the seven planets of pr…
七月	July
七月份	July
七武士	Seven Samurai
七河州	Semirechye region of Ka…
七爷八爷	term used in Taiwan for…
七碳糖	heptose 7
七窍	the seven apertures of …
七窍生烟	lit. spouting smoke thr…
七级浮屠	seven floor pagoda
七美	Qimei or Chimei townshi…
七美乡	Qimei or Chimei townshi…
七老八十	in one's seventies
七荤八素	confused
七角形	heptagon
七言律诗	verse form consisting o…
七边形	heptagon
七里河	see 七里河區|七里河区
七里河区	Qilihe
七里香	orange jasmine
七零八碎	bits and pieces
七零八落	everything broken and i…
七项全能	heptathlon
七鳃鳗	lamprey
七龙珠	Dragon Ball
万一	just in case
万万	hundred million
万丈	lit. ten thousand fatho…
万丈光芒	see 光芒萬丈|光芒万丈
万丈高楼平地起	towering buildings are …
万不得已	only when absolutely es…
万世	all ages
万世师表	model teacher of every …
万丹乡	Wantan township in Ping…
万事	all things
万事亨通	everything is going smo…
万事大吉	everything is fine
万事如意	to have all one's wishes
万事开头难	every beginning is diff…
万事得	Mazda Motor Corporation
万事起头难	the first step is the h…
万事达	MasterCard
万事通	jack-of-all-trades
万人	ten thousand people
万人之敌	a match for ten thousan…
万人敌	a match for ten thousan…
万人空巷	the multitudes come out…
万亿	trillion
万代	Bandai toy company
万代兰	Vanda genus of orchids
万代千秋	after innumerable ages
万众一心	millions of people all …
万位	the ten thousands place…
万俟	two-character surname M…
万儿八千	ten thousand or almost …
万元户	household with savings …
万全	absolutely safe
万全区	Wanquan
万分	very much
万分痛苦	excruciating
万劫不复	consigned to eternal da…
万千	myriad
万华区	Wanhua District of Taip…
万博省	Huambo province of Ango…
万历	reign name of Ming empe…
万县	Wanxian port city on th…
万县市	Wanxian port city on th…
万县港	Wanxian port city on th…
万变不离其宗	many superficial change…
万古千秋	for all eternity
万古长新	to remain forever new
万古长春	see 萬古長青|万古长青
万古长青	enduring through the ag…
万名	all names
万国	all nations
万国博览会	universal exposition
万国宫	Palais des Nations
万国码	Unicode
万国邮政联盟	Universal Postal Union
万国邮联	Universal Postal Union
万国音标	International Phonetic …
万圣夜	Halloween
万圣节	All Saints
万圣节前夕	All Saints' Eve
万圣节前夜	Halloween
万夫不当	lit. unbeatable by even…
万头攒动	bustling with many peop…
万宁	Wanning City
万宁市	Wanning City
万安	see 萬安縣|万安县
万安县	Wan'an
万宝路	Marlboro
万家乐	Macro
万家灯火	ablaze with lights
万寿山	Longevity Hill in the S…
万寿无疆	may you enjoy boundless…
万寿菊	Aztec or African marigo…
万山	see 萬山區|万山区
万山区	Wanshan
万岁	Long live !
万峦	Wanluan township in Pin…
万峦乡	Wanluan township in Pin…
万州	see 萬州區|万州区
万州区	Wanzhou
万年	see 萬年縣|万年县
万年历	perpetual calendar
万年县	Wannian
万年青	Nippon lily
万幸	very lucky indeed
万应灵丹	panacea
万念俱灰	every hope turns to dust
万恶	utterly evil
万恶之源	the root of all evil
万户	ducal title meaning lor…
万户侯	Marquis
万托林	ventolin
万无一失	surefire
万智牌	Magic the gathering
万有	universal
万有引力	gravity
万柏林	see 萬柏林區|万柏林区
万柏林区	Wanbailin
万死不辞	ten thousand deaths wil…
万民	all the people
万水千山	ten thousand crags and …
万泉河	Wanquan River
万洋山	Mt Wanyang between Jian…
万源	see 萬源市|万源市
万源市	Wanyuan
万灵丹	panacea
万灵节	All Saints' Day
万物	all things
万用字元	wildcard character
万用表	multimeter
万目睽睽	see 眾目睽睽|众目睽睽
万秀	see 萬秀區|万秀区
万秀区	Wanxiu
万科	Vanke
万箭穿心	lit. to have one's hear…
万籁俱寂	dead silent
万籁无声	see 萬籟俱寂|万籁俱寂
万紫千红	thousands of purples an…
万维网	World Wide Web
万能	omnipotent
万能㹴	Airedale terrier
万能钥匙	master key
万般	every kind
万般无奈	to have no way out
万艾可	Viagra
万花筒	kaleidoscope
万荣	Wanrong County in Yunch…
万荣乡	Wanrong or Wanjung town…
万荣县	Wanrong
万象	Vientiane
万象更新	nature takes on a new l…
万贯	ten thousand strings of…
万贯家财	vast wealth
万载	see 萬載縣|万载县
万载县	Wanzai
万那杜	Vanuatu
万邦	all nations
万里	Wan Li
万里乡	Wanli township in New T…
万里无云	cloudless
万里江山	lit. ten thousand miles…
万里迢迢	traveling a great dista…
万里长城	the Great Wall
万里长江	Changjiang River
万金油	Tiger Balm
万隆	Bandung
万难	countless difficulties
万顷	large landholding
万马奔腾	lit.  ten thousand hors…
万马齐喑	thousands of horses
万齐融	Wan Qirong
丈人	wife's father
丈八蛇矛	ancient spear-like weap…
丈夫	husband
丈母	wife's mother
丈母娘	wife's mother
丈量	to measure
三七	pseudoginseng
三七二十一	three sevens are twenty…
三七仔	pimp
三七开	ratio seventy to thirty
三三两两	in twos and threes
三下两下	quickly and effortlessly
三下五除二	three
三不	the three no's
三不五时	from time to time
三不朽	the three imperishables
三不沾	air ball
三不知	to know nothing about t…
三不管	of undetermined status
三世	the Third
三两	two or three
三个世界	the Three Worlds
三个代表	the Three Represents
三个和尚没水吃	see 三個和尚沒水喝|三个和尚没水喝
三个和尚没水喝	lit. three monks have n…
三个女人一个墟	three women makes a cro…
三个女人一台戏	three women are enough …
三中全会	third plenum of a natio…
三义乡	Sanyi township in Miaol…
三九天	the twenty seven days a…
三五	several
三五成群	in groups of three or f…
三井	Mitsui
三亚	see 三亞市|三亚市
三亚市	Sanya
三亲六故	old friends and relativ…
三人成虎	three men talking makes…
三人行	threesome
三从四德	Confucian moral injunct…
三代	three generations of a …
三代同堂	three generations under…
三令五申	to order again and again
三件套式西装	three-piece suit
三伏	the three annual period…
三伏天	see 三伏
三位一体	Holy Trinity
三位博士	the Magi
三体	trisomy
三体问题	three-body problem
三侠五义	Sanxia wuyi
三倍	triple
三催四请	to coax and plead
三元	see 三元區|三元区
三元区	Sanyuan
三元醇	propyl alcohol C3H7OH
三光	the sun
三光政策	Three Alls Policy
三八	International Women's D…
三八大盖	Arisaka Type 38 rifle
三八线	38th parallel
三八节	International Women's D…
三公消费	see 三公經費|三公经费
三公经费	"three public expenditu…
三军	upper
三军用命	to throw oneself into t…
三农	see 三農問題|三农问题
三农问题	the three core challeng…
三分	somewhat
三分之一	one third
三分头	regular men's haircut
三分熟	medium rare
三分球	three-point shot
三分钟热度	brief period of enthusi…
三包	"three-guarantee servic…
三北	China's three northern …
三北防护林	Green Wall of China
三十	thirty
三十二位元	32-bit
三十二相	the thirty-two physical…
三十八度线	38th parallel
三十六字母	thirty six initial cons…
三十六计	The Thirty-Six Stratage…
三十而立	thirty years old and th…
三千大千世界	cosmos
三原	see 三原縣|三原县
三原县	Sanyuan
三厢	sedan
三叉戟	trident
三叉神经	trigeminal nerve
三反	"Three Anti" campaign
三叠纪	Triassic
三句话不离本行	to talk shop all the ti…
三只手	pickpocket
三台	see 三台縣|三台县
三台县	Santai
三叶星云	Trifid Nebula
三叶草	clover
三叶虫	trilobite
三号木杆	spoon
三号电池	C size battery
三合一	three in one
三合会	triad
三合土	traditional Chinese bui…
三合星	triple star system
三合院	residence consisting of…
三味线	shamisen
三和弦	triad
三围	BWH
三国	Three Kingdoms period  …
三国史记	History of Three Kingdo…
三国志	History of the Three Ki…
三国演义	Romance of the Three Ki…
三地门	Santimen township in Pi…
三地门乡	Santimen township in Pi…
三大纪律八项注意	the Three Rules of Disc…
三天两头	lit. twice every three …
三头六臂	lit.  three heads and s…
三头肌	triceps muscle
三夷教	the three foreign relig…
三妻四妾	to have many wives and …
三姑六婆	women with disreputable…
三字经	Three Character Classic
三官大帝	the three gods in charg…
三宝	the Three Precious Trea…
三宝太监	Sanbao Eunuch
三家村	village of three househ…
三寸不烂之舌	to have a silver tongue
三寸金莲	bound foot
三对三斗牛	three-on-three basketba…
三小	what the hell?
三尖杉酯碱	harringtonine
三尖瓣	tricuspid valve
三屉桌	three-drawer desk
三岔口	At the Crossroads
三岛由纪夫	Mishima Yukio
三峡	Three Gorges on the Cha…
三峡大坝	Three Gorges Dam on the…
三峡水库	Three Gorges Reservoir …
三峡镇	Sanxia or Sanhsia town …
三废	three types of waste pr…
三度	third
三弦	sanxian
三归依	the Three Pillars of Fa…
三得利	Suntory
三心二意	in two minds about sth
三思而后行	think again and again b…
三思而行	think three times then …
三折肱	break one's arm three t…
三折肱为良医	lit. break one's arm th…
三振	to strike out
三振出局	see 三振
三教	the Three Doctrines
三教九流	the Three Religions  an…
三文治	sandwich
三文鱼	salmon
三族	three generations
三无	lacking three key attri…
三无产品	product lacking one or …
三无人员	person without identifi…
三旬九食	lit. to have only nine …
三明	see 三明市
三明市	Sanming
三明治	sandwich
三星	Samsung
三星乡	Sanxing or Sanhsing Tow…
三星堆	archaeological site of …
三星集团	Samsung Group
三春	the three spring months
三昧	Samadhi
三更	third of the five night…
三更半夜	in the depth of the nig…
三月	March
三月份	March
三月街	Third Month Fair
三朋四友	friends
三权分立	separation of powers
三条	three of a kind
三板	sampan
三极管	triode
三框栏	radical 匚
三棱草	sedge herb
三棱镜	prism
三次	third
三次元	three-dimensional
三次幂	cube
三次方	cube
三次方程	cubic equation
三次曲线	cubic curve
三段论	syllogism
三毛猫	tortoiseshell cat
三民	see 三民區|三民区
三民主义	Dr Sun Yat-sen's 孫中山|孙中…
三民区	Sanmin
三氟化硼	boron trifluoride
三氯化磷	phosphorous trichloride
三氯化铁	ferric chloride FeCl3
三氯氧磷	phosphorous oxychloride
三氯氰胺	melamine C3H6N6
三氯甲烷	chloroform
三氯蔗糖	sucralose
三水	see 三水區|三水区
三水区	Sanshui
三江	see 三江侗族自治縣|三江侗族自治县
三江侗族自治县	Sanjiang Dong Autonomou…
三江县	see 三江侗族自治縣|三江侗族自治县
三江平原	Sanjiang or Three river…
三江并流	the Three Parallel Rive…
三江源	Sanjiangyuan National N…
三江生态旅游区	Sanjiang Ecological Tou…
三沙	see 三沙市
三沙市	Sansha
三河	see 三河市
三河市	Sanhe
三法司	the three judicial chie…
三流	third-rate
三浦	Miura
三浦梅园	MIURA Baien
三温暖	sauna
三湾乡	Sanwan township in Miao…
三炮	simple-minded person
三点全露	naked
三点水	name of "water" radical…
三焦	the three truncal cavit…
三牲	the three sacrificial a…
三班倒	three-shift system
三瓦两舍	places of pleasure
三生有幸	the blessing of three l…
三甲	3rd rank of candidates …
三番两次	repeatedly
三番五次	over and over again
三百六十行	all walks of life
三皇	the three legendary sov…
三皇五帝	three sovereigns 三皇 and…
三皇炮捶	Pao Chui
三硝基甲苯	trinitrotoluene
三碳糖	triose 3
三磷酸腺苷	adenosine triphosphate
